Канберра	Австралия
Вена	Австрия
Баку	Азербайджан
Тирана	Албания
Алжир	Алжир
Луанда	Ангола
Андорра_ла_Велья	Андорра
Сент_Джонс	Антигуа и Барбуда
Буэнос_Айрес	Аргентина
Ереван	Армения
Кабул	Афганистан
Нассау	Багамы
Дакка	Бангладеш
Бриджтаун	Барбадос
Манама	Бахрейн
Минск	Беларусь
Бельмопан	Белиз
Брюссель	Бельгия
Порто_Ново	Бенин
София	Болгария
Сукре	Боливия
Сараево	Босния и Герцеговина
Габороне	Ботсвана
Бразилиа	Бразилия
Бандар_Сери_Багаван	Бруней
Уагадугу	Буркина Фасо
Бужумбура	Бурунди
Тхимпху	Бутан
Порт_Вила	Вануату
Ватикан	Ватикан
Лондон	Великобритания
Будапешт	Венгрия
Каракас	Венесуэла
Дили	Восточный Тимор
Ханой	Вьетнам
Либревиль	Габон
Порт_о_Пренс	Гаити
Джорджтаун	Гайана
Банжул	Гамбия
Аккра	Гана
Гватемала	Гватемала
Конакри	Гвинея
Бисау	Гвинея_Бисау
Берлин	Германия
Тегусигальпа	Гондурас
Сент_Джорджес	Гренада
Афины	Греция
Тбилиси	Грузия
Копенгаген	Дания
Джибути	Джибути
Розо	Доминика
Санто_Доминго	Доминиканская Республика
Каир	Египет
Лусака	Замбия
Хараре	Зимбабве
Иерусалим	Израиль
Нью_Дели	Индия
Джакарта	Индонезия
Амман	Иордания
Багдад	Ирак
Тегеран	Иран
Дублин	Ирландия
Рейкьявик	Исландия
Мадрид	Испания
Рим	Италия
Сана	Йемен
Прая	Кабо_Верде
Астана	Казахстан
Пномпень	Камбоджа
Яунде	Камерун
Оттава	Канада
Доха	Катар
Найроби	Кения
Никосия	Кипр
Бишкек	Киргизия
Южная Тарава	Кирибати
Пекин	Китай
Санта_Фе_де_Богота	Колумбия
Морони	Коморы
Киншаса	Конго, демократическая республика
Браззавиль	Конго, республика
Сан_Хосе	Коста_Рика
Ямусукро	Кот_д’Ивуар
Гавана	Куба
Эль_Кувейт	Кувейт
Вьентьян	Лаос
Рига	Латвия
Масеру	Лесото
Монровия	Либерия
Бейрут	Ливан
Триполи	Ливия
Вильнюс	Литва
Вадуц	Лихтенштейн
Люксембург	Люксембург
Порт_Луи	Маврикий
Нуакшот	Мавритания
Антананариву	Мадагаскар
Скопье	Македония
Лилонгве	Малави
Куала_Лумпур	Малайзия
Бамако	Мали
Мале	Мальдивы
Валлетта	Мальта
Рабат	Марокко
Маджуро	Маршалловы Острова
Мехико	Мексика
Мапуту	Мозамбик
Кишинев	Молдавия
Монако	Монако
Улан_Батор	Монголия
Найпьидо	Мьянма
Виндхук	Намибия
официальной столицы не имеет	Науру
Катманду	Непал
Ниамей	Нигер
Абуджа	Нигерия
Амстердам	Нидерланды
Манагуа	Никарагуа
Веллингтон	Новая Зеландия
Осло	Норвегия
Абу_Даби	Объединенные Арабские Эмираты
Маскат	Оман
Исламабад	Пакистан
Мелекеок	Палау
Панама	Панама
Порт_Морсби	Папуа _ Новая Гвинея
Асунсьон	Парагвай
Лима	Перу
Варшава	Польша
Лиссабон	Португалия
Москва	Россия
Кигали	Руанда
Бухарест	Румыния
Сан_Сальвадор	Сальвадор
Апиа	Самоа
Сан_Марино	Сан_Марино
Сан_Томе	Сан_Томе и Принсипи
Эр_Рияд	Саудовская Аравия
Мбабане	Свазиленд
Пхеньян	Северная Корея
Виктория	Сейшелы
Дакар	Сенегал
Кингстаун	Сент_Винсент и Гренадины
Бастер	Сент_Китс и Невис
Кастри	Сент_Люсия
Белград	Сербия
Сингапур	Сингапур
Дамаск	Сирия
Братислава	Словакия
Любляна	Словения
Вашингтон	Соединенные Штаты Америки
Хониара	Соломоновы Острова
Могадишо	Сомали
Хартум	Судан
Парамарибо	Суринам
Фритаун	Сьерра_Леоне
Душанбе	Таджикистан
Бангкок	Таиланд
Додома	Танзания
Ломе	Того
Нукуалофа	Тонга
Порт_оф_Спейн	Тринидад и Тобаго
Фунафути	Тувалу
Тунис	Тунис
Ашхабад	Туркмения
Анкара	Турция
Кампала	Уганда
Ташкент	Узбекистан
Киев	Украина
Монтевидео	Уругвай
Паликир	Федеративные штаты Микронезии
Сува	Фиджи
Манила	Филиппины
Хельсинки	Финляндия
Париж	Франция
Загреб	Хорватия
Банги	Центрально_Африканская Республика
Нджамена	Чад
Подгорица	Черногория
Прага	Чехия
Сантьяго	Чили
Берн	Швейцария
Стокгольм	Швеция
Коломбо	Шри_Ланка
Кито	Эквадор
Малабо	Экваториальная Гвинея
Асмэра	Эритрея
Таллин	Эстония
Аддис_Абеба	Эфиопия
Сеул	Южная Корея
Претория	Южно_Африканская Республика
Кингстон	Ямайка
Токио	Япония
